# tag,kind -- 细分分类（大类/子类），未列出 = 未分类；改规则请改 _dev_tests/_gen_tag_kind.py 重跑
10_breasts,person/body
10_legs,person/body
12_breasts,person/body
18+_adults_only_sign,person/count
180_penis,sex/body
1920s_(style),style/medium
1930s_(style),style/medium
1950s_(style),style/medium
1960s_(style),style/medium
1970s_(style),style/medium
1978_rainbow_pride_colors,scene/sky
1990s_(style),style/medium
1_arm,person/body
1_eye,person/eyes
1_finger,person/body
1_finger_fingering,person/body
1_toe,person/body
1boy,person/count
1boy_1girl,person/count
1cuntboy,sex/body
1futa,sex/body
1girl,person/count
2000s_(style),style/medium
20mm_grenade,object/weapon
20x30mm_grenade,object/weapon
2_faces,person/body
2_finger_fingering,person/body
2_fingers,person/body
2_heads,person/body
2_mouths,person/body
2_penis_bulge,sex/body
2_sheaths,object/weapon
2_toes,person/body
2_tongues,person/body
2_vulvas,sex/body
2b_(nier:automata)_(cosplay),style/medium
2boys,person/count
2futa,sex/body
2girls,person/count
2wink_(ensemble_stars!),expression/face
365_days_(love_live!),scene/sky
3_arms,person/body
3_balls,object/toy
3_breasts,person/body
3_eyes,person/eyes
3_fingers,person/body
3_heads,person/body
3_legs,person/body
3_mouths,person/body
3_toes,person/body
3_vulvas,sex/body
3boys,person/count
3d_background,scene/background
3d_glasses,clothing/accessory
3futa,sex/body
3girls,person/count
404_(girls'_frontline),person/count
404_logo_(girls'_frontline),style/quality
40mm_grenade,object/weapon
416_day,scene/sky
4_arms,person/body
4_balls,object/toy
4_breasts,person/body
4_ears,person/body
4_eyes,person/eyes
4_finger_heart_hands,expression/action
4_fingers,person/body
4_fingers_heart_hands,expression/action
4_hands,person/body
4_heads,person/body
4_legs,person/body
4_toes,person/body
4boys,person/count
4futa,sex/body
4girls,person/count
500_dollar_four_foot_tall_mareep_(meme),person/body
5_eyes,person/eyes
5_fingers,person/body
5_heads,person/body
5_string_bass_guitar,expression/action
5_toes,person/body
5boys,person/count
5girls,person/count
6+boys,person/count
6+girls,person/count
69_breast_suck,person/body
6_arms,person/body
6_breasts,person/body
6_ears,person/body
6_eyes,person/eyes
6_fingers,person/body
6_hands,person/body
6_heads,person/body
6_legs,person/body
6_toes,person/body
7_eyes,person/eyes
7_heads,person/body
7_string_guitar,expression/action
80s_clothing,clothing/other
80s_hair,person/hair
8_arms,person/body
8_ball,object/toy
8_breasts,person/body
8_eyes,person/eyes
8_legs,person/body
9s_(nier:automata)_(cosplay),style/medium
=_hair_ornament,clothing/head
?_face,person/body
_breasts,person/body
_eyes,person/eyes
a2_(nier:automata)_(cosplay),style/medium
a_certain_high_school_gym_uniform,clothing/whole
a_certain_high_school_uniform,clothing/whole
a_flat_chest_is_a_status_symbol,person/body
a_katakana_sign_(sarazanmai),object/tool
a_line_dress,clothing/whole
a_pose,expression/pose
aardwolf_ears,person/body
abdominal_scar,person/body
abdominal_tattoo,person/body
abigail_williams_(fate)_(cosplay),style/medium
abigail_williams_(swimsuit),clothing/whole
ability_card_(touhou),object/tool
above_cleavage_cutout,person/body
above_clouds,scene/sky
abs,person/body
abs_cutout,person/body
abs_peek,person/body
absolute_cinema_(meme),scene/indoor
abstract_background,scene/background
absurdly_detailed_composition,camera/framing
absurdly_fat_mons,person/body
absurdly_long_hair,person/hair
abydos_high_school_logo,style/quality
abydos_high_school_swimsuit,clothing/whole
abyssal_hunters_logo,style/quality
academy_city,scene/outdoor
accelerator_(toaru_majutsu_no_index)_(cosplay),style/medium
accelerator_family,person/count
accidental_bestiality,sex/act
accidental_penetration,sex/act
accidental_sex,sex/act
ace_(playing_card),expression/action
ace_trainer_(pokemon)_(cosplay),style/medium
achiga_school_uniform,clothing/whole
acid_armor,clothing/accessory
acorn_(palico_armor),clothing/accessory
acorn_hair_ornament,clothing/head
acorn_pendant,clothing/accessory
acoustic_guitar,expression/action
across_the_stars,scene/sky
across_the_stars_(idolmaster),scene/sky
action_figure,person/count
action_pose,expression/pose
ada_wong_(cosplay),style/medium
adam's_apple,object/food
adam_(ensemble_stars!),scene/sky
adapted_costume,clothing/whole
adapted_uniform,clothing/whole
adapted_weapon,object/weapon
adaptive_combat_rifle,object/weapon
adhesive_bandage,clothing/accessory
adhesive_bra,clothing/top
adjustable_wrench,object/tool
adjusting_another's_clothes,clothing/other
adjusting_another's_hair,person/hair
adjusting_apron,clothing/whole
adjusting_belt,clothing/accessory
adjusting_bow,clothing/head
adjusting_bowtie,clothing/accessory
adjusting_bra,clothing/top
adjusting_clothes,clothing/other
adjusting_clothing,clothing/other
adjusting_collar,clothing/accessory
adjusting_dress,clothing/whole
adjusting_earrings,clothing/accessory
adjusting_eyepatch,clothing/accessory
adjusting_footwear,clothing/footwear
adjusting_glasses,clothing/accessory
adjusting_gloves,clothing/accessory
adjusting_goggles,clothing/accessory
adjusting_hair,person/hair
adjusting_hair_ornament,clothing/head
adjusting_hat,clothing/head
adjusting_headphones,object/tool
adjusting_headwear,clothing/head
